generation,genome_idx,fitness,n_hidden,gene_in,gene_out,weight,enabled,innov
41,3,2464.9500000000003,3,14,11,0.688017,1,148
41,3,2464.9500000000003,3,0,15,0.390257,1,36
41,3,2464.9500000000003,3,15,14,0.954257,1,37
41,3,2464.9500000000003,3,10,16,0.341229,1,63
41,3,2464.9500000000003,3,16,13,-0.501268,1,64
41,4,2465.2833333333333,3,0,11,-2.020878,0,1
41,4,2465.2833333333333,3,0,12,-1.922318,1,2
41,4,2465.2833333333333,3,0,13,-0.944606,1,3
41,4,2465.2833333333333,3,1,11,1.756929,1,4
41,4,2465.2833333333333,3,1,12,-1.610884,1,5
41,4,2465.2833333333333,3,1,13,-1.058643,1,6
41,4,2465.2833333333333,3,2,11,1.022579,1,7
41,4,2465.2833333333333,3,2,12,-0.062363,1,8
41,4,2465.2833333333333,3,2,13,0.382261,1,9
41,4,2465.2833333333333,3,3,11,0.726765,1,10
41,4,2465.2833333333333,3,3,12,-1.733535,1,11
41,4,2465.2833333333333,3,3,13,-0.247866,1,12
41,4,2465.2833333333333,3,4,11,-0.356233,1,13
41,4,2465.2833333333333,3,4,12,-1.378111,1,14
41,4,2465.2833333333333,3,4,13,1.755462,1,15
41,4,2465.2833333333333,3,5,11,-0.120257,1,16
41,4,2465.2833333333333,3,5,12,0.794024,1,17
41,4,2465.2833333333333,3,5,13,-0.089425,1,18
41,4,2465.2833333333333,3,6,11,-0.506847,1,19
41,4,2465.2833333333333,3,6,12,1.180928,1,20
41,4,2465.2833333333333,3,6,13,1.832764,1,21
41,4,2465.2833333333333,3,7,11,-1.316406,1,22
41,4,2465.2833333333333,3,7,12,-0.763936,1,23
41,4,2465.2833333333333,3,7,13,-1.870414,1,24
41,4,2465.2833333333333,3,8,11,0.072015,1,25
41,4,2465.2833333333333,3,8,12,-0.386885,1,26
41,4,2465.2833333333333,3,8,13,2.018055,1,27
41,4,2465.2833333333333,3,9,11,1.138918,1,28
41,4,2465.2833333333333,3,9,12,0.042591,1,29
41,4,2465.2833333333333,3,9,13,-0.182164,1,30
41,4,2465.2833333333333,3,10,11,-0.698195,1,31
41,4,2465.2833333333333,3,10,12,-0.039438,1,32
41,4,2465.2833333333333,3,10,13,-0.402488,0,33
41,4,2465.2833333333333,3,0,14,-0.195520,0,147
41,4,2465.2833333333333,3,14,11,-1.095760,1,148
41,4,2465.2833333333333,3,0,15,0.423015,1,36
41,4,2465.2833333333333,3,15,14,0.229588,1,37
41,4,2465.2833333333333,3,10,16,-1.329729,1,63
41,4,2465.2833333333333,3,16,13,0.281427,1,64
41,5,795.3666666666666,3,0,11,-1.148103,0,1
41,5,795.3666666666666,3,0,12,-2.036824,1,2
41,5,795.3666666666666,3,0,13,0.282533,1,3
41,5,795.3666666666666,3,1,11,1.610816,1,4
41,5,795.3666666666666,3,1,12,0.221067,1,5
41,5,795.3666666666666,3,1,13,0.223636,1,6
41,5,795.3666666666666,3,2,11,0.428691,1,7
41,5,795.3666666666666,3,2,12,0.844543,1,8
41,5,795.3666666666666,3,2,13,0.711927,1,9
41,5,795.3666666666666,3,3,11,2.759183,1,10
41,5,795.3666666666666,3,3,12,-1.805863,1,11
41,5,795.3666666666666,3,3,13,-0.475753,1,12
41,5,795.3666666666666,3,4,11,0.333599,1,13
41,5,795.3666666666666,3,4,12,-1.723770,1,14
41,5,795.3666666666666,3,4,13,2.925672,1,15
41,5,795.3666666666666,3,5,11,1.808916,1,16
41,5,795.3666666666666,3,5,12,0.208408,1,17
41,5,795.3666666666666,3,5,13,2.109135,1,18
41,5,795.3666666666666,3,6,11,-0.630716,1,19
41,5,795.3666666666666,3,6,12,-0.910661,1,20
41,5,795.3666666666666,3,6,13,0.328106,1,21
41,5,795.3666666666666,3,7,11,1.873801,1,22
41,5,795.3666666666666,3,7,12,-0.511512,1,23
41,5,795.3666666666666,3,7,13,-1.654387,1,24
41,5,795.3666666666666,3,8,11,-1.559508,1,25
41,5,795.3666666666666,3,8,12,-0.181099,1,26
41,5,795.3666666666666,3,8,13,0.563904,1,27
41,5,795.3666666666666,3,9,11,0.930444,1,28
41,5,795.3666666666666,3,9,12,0.532270,1,29
41,5,795.3666666666666,3,9,13,0.363596,1,30
41,5,795.3666666666666,3,10,11,-1.160887,1,31
41,5,795.3666666666666,3,10,12,-0.423127,1,32
41,5,795.3666666666666,3,10,13,-0.486996,0,33
41,5,795.3666666666666,3,0,14,-1.523536,0,147
41,5,795.3666666666666,3,14,11,-1.332664,1,148
41,5,795.3666666666666,3,0,15,0.186708,1,36
41,5,795.3666666666666,3,15,14,0.755820,1,37
41,5,795.3666666666666,3,10,16,0.756795,1,63
41,5,795.3666666666666,3,16,13,-1.476485,1,64
41,6,2464.9500000000003,3,0,11,-1.643327,0,1
41,6,2464.9500000000003,3,0,12,-1.919424,1,2
41,6,2464.9500000000003,3,0,13,1.823935,1,3
41,6,2464.9500000000003,3,1,11,1.148069,1,4
41,6,2464.9500000000003,3,1,12,-1.933767,1,5
41,6,2464.9500000000003,3,1,13,-0.736215,1,6
41,6,2464.9500000000003,3,2,11,1.384602,1,7
